month,m2,unit,source,time_scraped
Tháng 3/2022,13864061,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2022,13644750,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2022,13748740,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2021,13402097,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2021,13040842,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2021,12907567,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2021,12879090,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2021,12757648,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 7/2021,12692256,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 6/2021,12647703,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 5/2021,12558573,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 4/2021,12465012,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 3/2021,12349750,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 2/2021,12228211,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 1/2021,12202217,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 12/2020,12110606,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 11/2020,11730140,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 10/2020,11556445,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 9/2020,11485845,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
Tháng 8/2020,11315994,Billion VND,https://funan.com.vn/vi/cat/du-lieu-vi-mo_5.html,2026-03-29 01:45:42.296270
